Method,Condition_Number,Avg_Correlation,Max_Eigenvalue,Min_Eigenvalue
Standard,40658.53626385592,0.4023296192746431,0.03345319063033279,8.227839392256956e-07
EWMA,2539660.859555442,0.25907121277578116,0.009483109566686266,3.734006267452503e-09
GraphicalLasso,173.01258847307435,0.0,0.03376604737784539,0.00019516526326695784
OLS,560236.7094727482,-0.009346918581498881,0.0015596621157811246,2.7839341646334078e-09
Robust,37459.393204079446,0.42482141898644354,0.025114878762056883,6.704561022980362e-07
Kalman,36776109.912473194,0.019041591812349618,0.0036776109987707497,1.0000000017590912e-10
