Date,AAPL,MSFT,OLS_Spread,Ratio_Spread,Mean_Reversion_Signals,MA_Crossover_Signals,Bollinger_Signals,RSI_Signals,Combined_Signals
2023-09-05,189.6999969482422,333.54998779296875,17.097474383750267,0.5687303369532339,0.0,-1.0,0.0,0.0,0.0
2023-09-06,182.91000366210935,332.8800048828125,10.657419603921113,0.5494772920545384,0.0,-1.0,0.0,0.0,0.0
2023-09-07,177.55999755859375,329.9100036621094,6.8586736521766625,0.5382073765197158,0.0,-1.0,0.0,0.0,0.0
2023-09-08,178.17999267578125,334.2699890136719,5.201406561174366,0.5330421471623453,0.0,-1.0,0.0,0.0,0.0
2023-09-11,179.36000061035156,337.94000244140625,4.464531247608676,0.5307451006527406,0.0,-1.0,0.0,0.0,0.0
2023-09-12,176.3000030517578,331.7699890136719,4.627190938991163,0.5313922563517121,0.0,-1.0,0.0,0.0,0.0
2023-09-13,174.2100067138672,336.0599975585937,0.29648195084800477,0.5183895970346569,1.0,-1.0,1.0,1.0,0.0
2023-09-14,175.74000549316406,338.70001220703125,0.4475757331820489,0.5188662508395262,0.0,-1.0,0.0,0.0,0.0
2023-09-15,175.00999450683594,330.2200012207031,4.146755899360585,0.5299799947304454,0.0,-1.0,0.0,0.0,0.0
2023-09-18,177.97000122070312,329.0599975585937,7.712643662836541,0.5408436228685412,0.0,-1.0,0.0,0.0,0.0
2023-09-19,179.07000732421875,328.6499938964844,9.026798615408836,0.5448653906886146,0.0,-1.0,0.0,0.0,0.0
2023-09-20,175.49000549316406,320.7699890136719,9.56259898849433,0.5470898509950204,0.0,-1.0,0.0,0.0,0.0
2023-09-21,173.92999267578125,319.5299987792969,8.650244975344577,0.5443307149258206,0.0,-1.0,0.0,0.0,0.0
2023-09-22,174.7899932861328,317.010009765625,10.826460041286424,0.5513705810594445,0.0,-1.0,0.0,0.0,0.0
2023-09-25,176.0800018310547,317.5400085449219,11.839645135403117,0.5545128081274361,0.0,-1.0,0.0,0.0,0.0
2023-09-26,171.9600067138672,312.1400146484375,10.54011867426567,0.550906640110033,0.0,-1.0,0.0,0.0,0.0
2023-09-27,170.42999267578125,312.7900085449219,8.670606583626096,0.5448703220048816,0.0,-1.0,0.0,0.0,0.0
2023-09-28,170.69000244140625,313.6400146484375,8.486650000700621,0.5442226580455128,0.0,-1.0,0.0,0.0,0.0
2023-09-29,171.2100067138672,315.75,7.904588666627944,0.5422328003606245,0.0,-1.0,0.0,0.0,0.0
2023-10-02,173.75,321.79998779296875,7.284615244157067,0.539931655037174,0.0,-1.0,0.0,0.0,0.0
2023-10-03,172.39999389648438,313.3900146484375,10.32721885596277,0.5501132321968955,0.0,-1.0,0.0,-1.0,0.0
2023-10-04,173.66000366210938,318.9599914550781,8.677976259602048,0.5444570112692877,0.0,-1.0,0.0,0.0,0.0
2023-10-05,174.91000366210938,319.3599853515625,9.719055607232406,0.5476891648450021,0.0,-1.0,0.0,0.0,0.0
2023-10-06,177.49000549316406,327.260009765625,8.1727988407728,0.5423516476097331,0.0,-1.0,0.0,0.0,0.0
2023-10-09,178.99000549316406,329.82000732421875,8.335687538058352,0.5426899566987572,0.0,-1.0,0.0,0.0,0.0
2023-10-10,178.38999938964844,328.3900146484375,8.48258033808554,0.5432260161157042,0.0,-1.0,0.0,0.0,0.0
2023-10-11,179.8000030517578,332.4200134277344,7.787676946813463,0.5408820040579325,0.0,-1.0,0.0,0.0,0.0
2023-10-12,180.7100067138672,331.1600036621094,9.355795806529983,0.5456878992496027,0.0,-1.0,0.0,0.0,0.0
2023-10-13,178.85000610351562,327.7300109863281,9.287313301193421,0.5457236142800993,0.0,-1.0,0.0,0.0,0.0
2023-10-16,178.72000122070312,332.6400146484375,6.592766366011858,0.5372775172872384,0.0,-1.0,0.0,0.0,0.0
2023-10-17,177.14999389648438,332.0599975585937,5.3257075364095385,0.5334879094107846,1.0,-1.0,1.0,0.0,0.0
2023-10-18,175.83999633789062,330.1099853515625,5.034220075100762,0.5326709404158844,1.0,-1.0,1.0,0.0,0.0
2023-10-19,175.4600067138672,331.32000732421875,4.022224357657336,0.5295786636336992,1.0,-1.0,1.0,0.0,0.0
2023-10-20,172.8800048828125,326.6700134277344,3.870958982100632,0.5292190827948671,0.0,-1.0,0.0,0.0,0.0
2023-10-23,173.0,329.32000732421875,2.6068368452623076,0.5253249002563024,1.0,-1.0,1.0,1.0,0.0
2023-10-24,173.44000244140625,330.5299987792969,2.4148491328726323,0.5247330138926859,0.0,-1.0,0.0,1.0,0.0
2023-10-25,171.10000610351562,340.6700134277344,-5.221374207501441,0.5022455730163956,1.0,-1.0,1.0,1.0,0.0
2023-10-26,166.88999938964844,327.8900146484375,-2.7562648615464127,0.5089816460821086,1.0,-1.0,1.0,1.0,0.0
2023-10-27,168.22000122070312,329.8099975585937,-2.4290885377155007,0.5100512491008322,0.0,-1.0,0.0,1.0,0.0
2023-10-30,170.2899932861328,337.3099975585937,-4.276418477806459,0.5048471569733178,0.0,-1.0,0.0,1.0,0.0
2023-10-31,170.77000427246094,338.1099853515625,-4.214248796217618,0.5050723482623456,0.0,-1.0,0.0,1.0,0.0
2023-11-01,173.97000122070312,346.07000732421875,-5.171847746363994,0.5027017584269237,0.0,-1.0,0.0,1.0,0.0
2023-11-02,177.57000732421875,348.32000732421875,-2.7470382445045516,0.5097898587230314,0.0,-1.0,0.0,1.0,0.0
2023-11-03,176.64999389648438,352.79998779296875,-6.006988482177206,0.5007086168045638,0.0,-1.0,0.0,1.0,0.0
2023-11-06,179.22999572753906,356.5299987792969,-5.375207200132763,0.5027066343398722,0.0,-1.0,0.0,1.0,0.0
2023-11-07,181.82000732421875,360.5299987792969,-4.874434006397422,0.504313116633388,0.0,-1.0,0.0,1.0,0.0
2023-11-08,182.88999938964844,363.2000122070313,-5.199015588367672,0.5035517435098473,0.0,-1.0,0.0,1.0,0.0
2023-11-09,182.41000366210935,360.6900024414063,-4.368009117379501,0.5057251446600372,0.0,-1.0,0.0,0.0,0.0
2023-11-10,186.3999938964844,369.6700134277344,-5.068364835879123,0.504233470732738,0.0,-1.0,0.0,0.0,0.0
2023-11-13,184.8000030517578,366.6799926757813,-5.106639135460483,0.5039816917831077,0.0,-1.0,0.0,0.0,0.0
2023-11-14,187.44000244140625,370.2699890136719,-4.3417292996996935,0.50622520863954,0.0,-1.0,0.0,0.0,0.0
2023-11-15,188.00999450683597,369.6700134277344,-3.4583642255275606,0.5085887079764165,0.0,-1.0,0.0,0.0,0.0
2023-11-16,189.7100067138672,376.1700134277344,-5.153364423280891,0.5043198552303324,0.0,-1.0,0.0,0.0,0.0
2023-11-17,189.69000244140625,369.8500061035156,-1.8723681935800016,0.5128835995971697,0.0,-1.0,0.0,0.0,0.0
2023-11-20,191.4499969482422,377.4400024414063,-4.0767016435760866,0.5072329263190984,0.0,-1.0,0.0,0.0,0.0
2023-11-21,190.63999938964844,373.0700073242188,-2.6042087972929835,0.5110032853002079,0.0,-1.0,0.0,0.0,0.0
2023-11-22,191.30999755859372,377.8500061035156,-4.430849882281194,0.5063120139428621,0.0,-1.0,0.0,0.0,0.0
2023-11-24,189.97000122070312,377.4299926757813,-5.551469174428092,0.5033251328913082,0.0,-1.0,0.0,0.0,0.0
2023-11-27,189.7899932861328,378.6099853515625,-6.347798612357195,0.501281003219979,0.0,-1.0,0.0,0.0,0.0
2023-11-28,190.3999938964844,382.7000122070313,-7.874058295885362,0.49751760601847766,1.0,-1.0,1.0,0.0,0.0
2023-11-29,189.3699951171875,378.8500061035156,-6.893161924423509,0.49985480286740375,0.0,-1.0,0.0,0.0,0.0
2023-11-30,189.9499969482422,378.9100036621094,-6.344497394243064,0.5013063659243711,0.0,-1.0,0.0,0.0,0.0
2023-12-01,191.2400054931641,374.510009765625,-2.7563297940072005,0.5106405716975241,0.0,-1.0,0.0,0.0,0.0
2023-12-04,189.42999267578125,369.1400146484375,-1.7615426057770946,0.5131656963718525,0.0,-1.0,0.0,0.0,0.0
2023-12-05,193.4199981689453,372.5199890136719,0.4630698261831867,0.5192204549373768,-1.0,-1.0,-1.0,0.0,-1.0
2023-12-06,192.32000732421875,368.7999877929688,1.3060713337797836,0.5214750913500039,-1.0,-1.0,-1.0,0.0,-1.0
2023-12-07,194.2700042724609,370.9500122070313,2.1330898887401304,0.5237093890808033,-1.0,-1.0,-1.0,0.0,-1.0
2023-12-08,195.7100067138672,374.2300109863281,1.8599174773170546,0.522967161821282,0.0,-1.0,0.0,0.0,0.0
2023-12-11,193.17999267578125,371.2999877929688,0.8602826835020778,0.5202800943357301,0.0,-1.0,0.0,0.0,0.0
2023-12-12,194.7100067138672,374.3800048828125,0.7815742251314362,0.5200865542346869,0.0,-1.0,0.0,0.0,0.0
2023-12-13,197.9600067138672,374.3699951171875,4.036802421818493,0.5287817113973051,0.0,1.0,0.0,-1.0,0.0
2023-12-14,198.1100006103516,365.9299926757813,8.595090623685337,0.5413877096045516,-1.0,1.0,-1.0,-1.0,0.0
2023-12-15,197.57000732421875,370.7300109863281,5.548001690244888,0.532921537154716,0.0,1.0,0.0,-1.0,0.0
2023-12-18,195.88999938964844,372.6499938964844,2.8651682484507717,0.5256675234082071,0.0,1.0,0.0,-1.0,0.0
2023-12-19,196.94000244140625,373.260009765625,3.5965541551550757,0.5276214898163549,0.0,1.0,0.0,-1.0,0.0
2023-12-20,194.8300018310547,370.6199951171875,2.8654585417663156,0.5256866990391351,0.0,1.0,0.0,0.0,0.0
2023-12-21,194.67999267578125,373.5400085449219,1.1902983389089172,0.5211757461647353,0.0,1.0,0.0,0.0,0.0
2023-12-22,193.6000061035156,374.5799865722656,-0.4328787415929298,0.5168455684862528,0.0,1.0,0.0,0.0,0.0
2023-12-26,193.0500030517578,374.6600036621094,-1.024675487599069,0.5152671786814527,0.0,1.0,0.0,0.0,0.0
2023-12-27,193.1499938964844,374.0700073242188,-0.6165238911931112,0.5163471813153813,0.0,1.0,0.0,0.0,0.0
2023-12-28,193.5800018310547,375.2799987792969,-0.8185061104187241,0.515828188181432,0.0,1.0,0.0,0.0,0.0
2023-12-29,192.52999877929688,376.0400085449219,-2.2654695594156635,0.5119933900764636,0.0,1.0,0.0,0.0,0.0
2024-01-02,185.63999938964844,370.8699951171875,-6.455121299823958,0.5005527592788678,1.0,1.0,1.0,0.0,1.0
