entry_date,exit_date,trade_direction,asset1_position,asset2_position,asset1_entry_price,asset2_entry_price,asset1_exit_price,asset2_exit_price,entry_spread,exit_spread,entry_zscore,exit_zscore,gross_return,transaction_costs,net_return,half_life,mean_reversion_speed,exit_reason,hold_period,regime
2015-07-30,2015-07-31,Short,-0.1710924820640537,0.35466417949475126,67.02980041503906,35.01210021972656,64.93765258789062,35.09530258178711,-5.548127305761881,-8.95541398233209,-1.0,0.0,0.00618299348667086,0.0711648353655742,-0.06498184187890335,11.096651271504525,8.8708093776393,Signal Exit,1,calm_bullish
2015-08-04,2015-08-25,Long,0.1714207879369235,-0.3610783591853977,65.21440887451172,35.94241714477539,59.84975814819336,32.46315002441406,-10.494197788573032,-0.6092861677418782,1.0,0.0,0.020851426236783308,0.06920755200945683,-0.04835612577267352,12.181306817369123,10.102952140891698,Trailing Stop,15,calm_bearish
2015-10-01,2015-12-02,Long,0.17416878411652653,-0.28667325488274936,65.8304443359375,36.02564239501953,71.1961669921875,41.106075286865234,6.534008312633766,23.443604856481578,1.0,0.0,-0.02623124428718971,0.06896603827378592,-0.09519728256097562,14.565788482109872,0.24097856726720643,Time Stop,43,calm_bullish
2015-12-14,2016-01-07,Long,0.15090074588751,-0.1497870941403391,68.6851806640625,39.84034729003906,64.934814453125,36.9276123046875,29.13885625712119,53.799171973473,1.0,1.0,0.002711439482670115,0.04749330977916914,-0.04478187029649903,12.565601261624586,0.016943812563335398,Trailing Stop,16,calm_bullish
2016-01-11,2016-03-14,Long,0.01778753978494233,-0.00861006961373026,64.39904022216797,36.26424789428711,72.38146209716797,40.784217834472656,46.845308641834336,27.730243742924316,1.0,0.0,0.001131652309792448,0.004644571920547975,-0.0035129196107555266,14.278113579844447,0.01061052483340632,Time Stop,43,calm_bullish
2016-03-31,2016-06-01,Short,-0.18541451798522526,0.24483326121333612,73.94074249267578,40.999637603759766,73.0864486694336,42.23906707763672,19.80218262060947,29.184084312461508,-1.0,0.0,0.009543607183658804,0.07146086895954626,-0.06191726177588745,14.50705243546693,18.256746485925497,Time Stop,43,calm_bullish
2016-06-21,2016-08-22,Short,-0.0,0.0,74.30282592773438,42.85955047607422,75.02884674072266,47.19089889526367,67.22235436496233,29.827239296613577,-1.0,0.0,0.0,0.0,0.0,14.897139783406232,10.64261627247573,Time Stop,43,calm_bullish
2016-09-12,2016-11-03,Long,0.08220650328013471,-0.06067469609122483,72.67025756835938,46.3390007019043,74.98711395263672,42.42487335205078,38.46852567887606,57.52189522884608,1.0,-1.0,0.007745912698106797,0.02628617591757047,-0.01854026321946367,17.516361710341904,0.11799768105461772,Trailing Stop,38,calm_bullish
2016-11-08,2017-01-11,Short,-0.07227784893621336,0.023489297085745955,76.05319213867188,42.92928314208984,87.1475830078125,48.19396209716797,62.10177133348759,-25.170528615127168,-1.0,0.0,-0.007663020862394728,0.0209043329267291,-0.02856735378912383,97.39439829468127,0.14130379723775216,Time Stop,43,calm_bullish
2017-01-25,2017-02-06,Long,0.18702679987171172,-0.41552030365104775,87.18135833740234,48.76142501831055,81.46440124511719,45.75596618652344,-21.152645901370803,-10.972874622223031,1.0,0.0,0.013346639181794498,0.10622275773058527,-0.09287611854879077,79.39218606693593,2.3345237383546828e-05,Signal Exit,8,calm_bullish
2017-02-27,2017-04-28,Long,0.1731589377074812,-0.4023508378991929,86.97868347167969,49.08323669433594,88.7219009399414,47.07416915893555,-27.070765388604286,37.89488983246268,0.5,0.0,0.019939395846668668,0.10366970904986472,-0.08373031320319606,103.14324620737328,3.0753469534611057e-08,Time Stop,43,calm_bullish
2017-05-04,2017-07-06,Long,0.0962001944102151,-0.10018886092617288,82.79524230957031,45.97831726074219,88.3278579711914,45.59608459472656,34.910565340904995,41.65697708944276,1.0,0.0,0.007261275525339317,0.03845521579047456,-0.031193940265135243,110.97862480463395,0.12083931073070493,Time Stop,43,calm_bearish
2017-07-10,2017-07-12,Short,-0.033026866088503554,0.03151834806651478,89.77950286865234,45.95623016357422,87.52517700195312,45.81217193603516,45.92234566097531,48.80872579262978,-1.0,0.0,0.0007304907912185073,0.01312230953675228,-0.012391818745533772,109.96568138629888,0.168577632867145,Signal Exit,2,calm_bearish
2017-07-27,2017-08-17,Short,-0.0,0.0,90.49679565429688,46.50848007202149,89.38671112060547,44.37228012084961,69.67255365751659,141.1017784907384,-1.0,0.0,0.0,0.0,0.0,135.5088298805654,2.1396387399152664e-06,Trailing Stop,15,calm_bullish
2017-10-06,2017-12-07,Short,-0.020013815460196222,0.017172124234528085,97.49221801757812,51.04669189453125,100.0187530517578,55.74025344848633,53.6934662644242,55.884766325929675,-1.0,0.0,0.0010602526808542712,0.008680060227602853,-0.0076198075467485814,179.68750305798554,8.153792453380053e-06,Time Stop,43,calm_bullish
2017-12-12,2018-02-08,Short,-0.12330217001223032,0.09974974566277912,101.6932144165039,56.138816833496094,93.4331512451172,50.68473052978516,56.27769009608738,-9.691810660891392,-1.0,0.0,0.0003242137527707054,0.05207268898944145,-0.05174847523667075,61.187690188542625,,Trailing Stop,39,calm_bullish
2018-03-27,2018-05-29,Short,-0.16203876329335581,0.24989532481157598,98.98931121826172,50.16035842895508,112.76243591308594,54.24283218383789,21.632271411831795,51.28478561417178,-1.0,0.0,-0.002207074649633309,0.09060279068987964,-0.09280986533951295,9480.284389500674,6.803309448614415e-07,Time Stop,43,calm_bullish
