Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 09:00:00+00:00,MSFT,419.55,419.79,419.55,419.7,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:01:00+00:00,MSFT,419.4,419.84,419.4,419.82,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:02:00+00:00,MSFT,419.4,419.4,419.4,419.4,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:03:00+00:00,MSFT,419.8,419.84,419.42,419.84,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:04:00+00:00,MSFT,420.0,420.39,419.91,420.25,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:05:00+00:00,MSFT,420.48,420.6,420.17,420.6,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:06:00+00:00,MSFT,420.5,420.68,420.5,420.68,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:07:00+00:00,MSFT,420.4,420.42,420.28,420.42,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:08:00+00:00,MSFT,420.27,420.43,420.27,420.43,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:10:00+00:00,MSFT,420.2,420.2,420.2,420.2,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:11:00+00:00,MSFT,420.12,420.23,420.12,420.23,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:12:00+00:00,MSFT,420.0,420.15,420.0,420.12,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:13:00+00:00,MSFT,419.95,419.95,419.95,419.95,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:16:00+00:00,MSFT,419.98,419.98,419.8,419.8,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:17:00+00:00,MSFT,419.72,419.72,419.46,419.46,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:18:00+00:00,MSFT,419.4,419.5,419.4,419.5,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:19:00+00:00,MSFT,419.32,419.35,419.32,419.35,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:20:00+00:00,MSFT,419.33,419.33,419.33,419.33,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:21:00+00:00,MSFT,419.35,419.37,419.35,419.37,0,2025-01-15 05:14:03.140428+00:00
2025-01-14 09:25:00+00:00,MSFT,419.4,419.48,419.1,419.1,0,2025-01-15 05:14:03.140428+00:00
