,asset1,asset2,correlation
5,GOOG,GOOGL,0.993353785693867
3,CDNS,SNPS,0.6859530578608307
0,ADP,PAYX,0.6162355476572016
1,AEP,XEL,0.6153382836520062
4,CHTR,CMCSA,0.5884875180961643
2,BKR,FANG,0.5850066535871493
