Date,AAPL,MSFT,OLS_Spread,Ratio_Spread,OLS_Signals,Ratio_Signals
2021-01-14,128.91000366210938,213.0200042724609,2.960983214528099,0.6051544506459987,0.0,0.0
2021-01-15,127.13999938964844,212.6499938964844,1.3404380173475943,0.5978838609867948,0.0,0.0
2021-01-19,127.83000183105467,216.44000244140625,0.49953427555816177,0.5906024782348646,0.0,0.0
2021-01-20,132.02999877929688,224.33999633789065,1.5084699478196626,0.5885263481079821,0.0,0.0
2021-01-21,136.8699951171875,224.97000122070312,6.093987078312864,0.6083922050696592,0.0,0.0
2021-01-22,139.07000732421875,225.9499969482422,7.898147534348709,0.6154901934168876,0.0,0.0
2021-01-25,142.9199981689453,229.52999877929688,10.3020606528504,0.6226636994250548,0.0,0.0
2021-01-26,143.16000366210938,232.3300018310547,9.411054979655432,0.6161924957337719,0.0,0.0
2021-01-27,142.05999755859375,232.8999938964844,8.080810773244764,0.6099613623078679,0.0,0.0
2021-01-28,137.08999633789062,238.92999267578125,0.6750993670707146,0.5737663773501908,0.0,0.0
2021-01-29,131.9600067138672,231.9600067138672,-1.6394890568213043,0.5688912006139301,0.0,0.0
2021-02-01,134.13999938964844,239.6499938964844,-2.5657292000499297,0.5597329555851753,0.0,0.0
2021-02-02,134.99000549316406,239.50999450683597,-1.6591728463921243,0.5636090709747449,0.0,0.0
2021-02-03,133.94000244140625,243.0,-4.118901212893746,0.5511934256847993,0.0,0.0
2021-02-04,137.38999938964844,242.00999450683597,-0.2690092478149211,0.567703824255769,0.0,0.0
2021-02-05,136.75999450683594,242.1999969482422,-0.9757622194307487,0.5646572924443982,0.0,0.0
2021-02-08,136.91000366210938,242.47000122070312,-0.9348164621155206,0.5646471851067876,0.0,0.0
2021-02-09,136.00999450683594,243.7700042724609,-2.359938605003663,0.5579439312591472,0.0,0.0
2021-02-10,135.38999938964844,242.82000732421875,-2.596199441689464,0.5575734919111203,0.0,0.0
2021-02-11,135.1300048828125,244.4900054931641,-3.5307598479055855,0.5527015495387632,0.0,0.0
2021-02-12,135.3699951171875,244.9900054931641,-3.4927356731120085,0.552553133115321,0.0,0.0
2021-02-16,133.19000244140625,243.6999969482422,-5.151652463604762,0.5465326389384141,0.0,0.0
2021-02-17,130.83999633789062,244.1999969482422,-7.70362462670181,0.5357903274897335,0.0,0.0
2021-02-18,129.7100067138672,243.7899932861328,-8.668000602624886,0.5320563201362757,0.0,0.0
2021-02-19,129.8699951171875,240.97000122070312,-7.36892682829307,0.5389467338643547,0.0,0.0
2021-02-22,126.0,234.50999450683597,-8.629517743741815,0.5372905332455974,0.0,0.0
2021-02-23,125.86000061035156,233.2700042724609,-8.26864525027787,0.5395464410561173,0.0,0.0
2021-02-24,125.3499984741211,234.5500030517578,-9.295680005955631,0.5344276139125025,0.0,0.0
2021-02-25,120.98999786376952,228.9900054931641,-11.409819019924058,0.5283636620000053,0.0,0.0
2021-02-26,121.26000213623048,232.3800048828125,-12.509144384884607,0.521817710595974,0.0,0.0
2021-03-01,127.79000091552734,236.94000244140625,-7.821075082808051,0.5393348510120363,0.0,0.0
2021-03-02,125.12000274658205,233.8699951171875,-9.250998687436137,0.5349980987680226,0.0,0.0
2021-03-03,122.05999755859376,227.55999755859372,-9.762193189669077,0.5363860031118383,0.0,0.0
2021-03-04,120.12999725341795,226.72999572753903,-11.356929096317899,0.5298372492265113,0.0,0.0
2021-03-05,121.41999816894533,231.6000061035156,-12.034081792303922,0.524265954097927,0.0,0.0
2021-03-08,116.36000061035156,227.38999938964844,-15.393522417275392,0.5117199565622087,0.0,1.0
2021-03-09,121.08999633789062,233.77999877929688,-13.244652684646496,0.5179655957317685,0.0,0.0
2021-03-10,119.9800033569336,232.4199981689453,-13.80529773700141,0.516220653567515,0.0,0.0
2021-03-11,121.95999908447266,237.1300048828125,-13.727825002666066,0.5143170268340532,0.0,0.0
2021-03-12,121.02999877929688,235.75,-14.100397011072289,0.5133828156067736,0.0,0.0
2021-03-15,123.98999786376952,234.80999755859372,-10.760700748424156,0.5280439468205754,0.0,0.0
2021-03-16,125.56999969482422,237.7100067138672,-10.35210576105078,0.5282486902033262,0.0,0.0
2021-03-17,124.76000213623048,237.0399932861328,-10.89146337591221,0.5263246948612242,0.0,0.0
2021-03-18,120.52999877929688,230.72000122070312,-12.56861894476424,0.5224081056761082,0.0,0.0
2021-03-19,119.98999786376952,230.3500061035156,-12.959166948526118,0.5209029506595626,0.0,0.0
2021-03-22,123.38999938964844,235.9900054931641,-11.83734232818523,0.5228611234267829,0.0,0.0
2021-03-23,122.54000091552734,237.5800018310547,-13.329591392531682,0.5157841567939151,0.0,0.0
2021-03-24,120.08999633789062,235.4600067138672,-14.923261849867913,0.5100229037359406,0.0,0.0
2021-03-25,120.58999633789062,232.33999633789065,-13.162989446889583,0.5190238367849388,0.0,0.0
2021-03-26,121.20999908447266,236.47999572753903,-14.215265427101201,0.512559207012694,0.0,0.0
2021-03-29,121.38999938964844,235.2400054931641,-13.534393238813095,0.516026171378303,0.0,0.0
2021-03-30,119.9000015258789,231.8500061035156,-13.655061465161054,0.5171446985959809,0.0,0.0
2021-03-31,122.1500015258789,235.7700042724609,-12.988474632657699,0.5180896607386906,0.0,0.0
2021-04-01,123.0,242.3500061035156,-14.796350242250128,0.5075304184125445,0.0,0.0
2021-04-05,125.9000015258789,249.07000732421875,-14.610773050226925,0.5054803783018029,0.0,0.0
2021-04-06,126.20999908447266,247.8600006103516,-13.812014915499503,0.509198736277263,0.0,0.0
