method,num_clusters,avg_cluster_size,max_cluster_size,min_cluster_size,total_assets,avg_intra_similarity,similarity_std
kmeans,5,20.2,34,6,101,0.45597351713055595,0.15155541517122398
dbscan,1,92.0,92,92,92,0.39482309248814973,0.15703343807382864
agglomerative,5,20.2,87,1,101,0.3957340022347353,0.16632905001547255
graph_correlation,7,3.0,9,2,21,0.8287744878833193,0.05474342181991859
graph_mutual_info,7,4.0,15,2,28,0.7605264377810231,0.14828114974305862
graph_cosine,7,3.0,9,2,21,0.8287551910716205,0.054741917273469894
graph_dtw,1,101.0,101,101,101,0.46778448095928526,0.17719749587599437
