Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ARCB,"Arcbest Corp",78.38,-0.16,-0.20%,79.22,80.69,78.18,291900,2025-07-21
ARCT,"Arcturus Therapeutics Ltd",13.79,0.29,+2.15%,13.59,14.19,13.59,262000,2025-07-21
ARDT,"Ardent Health Inc",10.95,-0.16,-1.44%,11.03,11.23,10.895,449473,"18:30 ET"
ARDX,"Ardelyx Inc",4.42,0.01,+0.23%,4.43,4.52,4.38,3877600,2025-07-21
AREN,"The Arena Group Holdings Inc",5.77,0.53,+10.11%,5.33,5.81,5.2538,215490,"18:30 ET"
ARHS,"Arhaus Inc Cl A",8.55,0.08,+0.94%,8.59,8.69,8.44,1427000,2025-07-21
ARI,"Apollo Commercial Real Estate",9.7,-0.02,-0.21%,9.73,9.84,9.69,860174,"18:30 ET"
ARIS,"Aris Water Solutions Inc Cl A",21.29,-0.84,-3.80%,22.28,22.3637,21.2,538182,"18:30 ET"
ARKO,"Arko Corp",4.34,0.07,+1.52%,4.3,4.4,4.28,319400,2025-07-21
ARL,"American Realty Investors",13.02,0.5,+3.99%,12.79,13.1799,12.6986,3069,"18:30 ET"
ARLO,"Arlo Technologies Inc",16.25,-0.1,-0.61%,16.41,16.45,16.12,1278915,"18:30 ET"
AROC,"Archrock Inc",22.82,-0.58,-2.48%,23.4,23.428,22.775,1170203,"18:30 ET"
AROW,"Arrow Financial Corp",26.91,0.16,+0.60%,26.85,27.31,26.85,24500,2025-07-21
ARQ,"Arq Inc",5.77,0.07,+1.23%,5.74,5.91,5.74,220400,2025-07-21
ARQT,"Arcutis Biotherapeutics Inc",14.34,-0.33,-2.25%,14.95,15.16,14.28,1233700,2025-07-21
ARR,"Armour Residential R",16.31,-0.17,-1.03%,16.58,16.6,16.27,2566594,"18:30 ET"
ARRY,"Array Technologies Inc",6.82,-0.28,-3.94%,7.19,7.27,6.81,3468200,2025-07-21
ARTV,"Artiva Biotherapeutics Inc",2.55,0.16,+6.69%,2.42,2.6,2.42,121000,2025-07-21
ARVN,"Arvinas Inc",7.52,0.17,+2.31%,7.4,7.76,7.37,1882200,2025-07-21
ARWR,"Arrowhead Pharma",14.71,-2.05,-12.23%,16.96,17,14.32,6746000,2025-07-21
ASAN,"Asana Inc Cl A",14.82,-0.19,-1.27%,15.2,15.26,14.8,4551163,"18:30 ET"
ASB,"Associated Banc-Corp",25.62,-0.2,-0.77%,25.78,26.17,25.57,1232684,"18:30 ET"
ASC,"Ardmore Shipping Corp",9.97,-0.02,-0.20%,10,10.1,9.895,691526,"18:30 ET"
ASGN,"On Assignment",48.25,-0.16,-0.33%,48.66,48.88,48.2,340392,"18:30 ET"
ASIX,"Advansix Inc",21.99,0.009999999999998,+0.05%,22.27,22.315,21.845,264889,"18:30 ET"
ASLE,"Aersale Corp",5.78,0.02,+0.35%,5.78,5.82,5.74,228000,2025-07-21
ASO,"Academy Sports and Outdoors Inc",53.95,-0.17,-0.31%,54.34,54.67,53.5,1695900,2025-07-21
ASPI,"Asp Isotopes Inc",9.88,-0.61,-5.82%,9.9,10.48,9,7348500,2025-07-21
ASPN,"Aspen Aerogels Inc",7.39,0.16,+2.21%,7.42,7.665,7.3212,2724726,"18:30 ET"
ASTE,"Astec Inds Inc",38.18,0.21,+0.55%,38.39,38.63,37.95,161700,2025-07-21
ASTH,"Astrana Health Inc",23.04,0.39,+1.72%,22.97,23.88,22.74,278600,2025-07-21
ASTS,"Ast Spacemobile Inc",56.67,-1.31,-2.26%,59.74,60.95,56.36,12396700,2025-07-21
ASUR,"Asure Software",10.21,0.17,+1.69%,10.05,10.43,10.05,41000,2025-07-21
ATEC,"Alphatec Holdings",10.31,-0.18,-1.76%,10.6,10.7,10.22,1358100,2025-07-21
ATEN,"A10 Networks Inc",18.81,0.079999999999998,+0.43%,18.75,18.99,18.724,662106,"18:30 ET"
ATEX,"Anterix Inc.",22.56,-0.28,-1.23%,23,23.09,22.21,174700,2025-07-21
ATGE,"Adtalem Global Education Inc",116.15,-0.93,-0.79%,117.06,118.129,114.5,424580,"18:30 ET"
ATKR,"Atkore Inc",72.99,-1.29,-1.74%,75.15,75.495,72.795,444791,"18:30 ET"
ATLC,"Atlanticus Holdings Corp",51.66,-0.21,-0.40%,52.04,52.89,51.4,26000,2025-07-21
ATLO,"Ames Natl Corp",18.27,0.27,+1.50%,18.11,18.32,18.11,7800,2025-07-21
ATMU,"Atmus Filtration Technologies Inc",37.34,-0.34,-0.90%,38.02,38.02,37.34,618998,"18:30 ET"
ATNI,"Atn International",17.92,0.33,+1.88%,17.6,18.08,17.54,35600,2025-07-21
ATNM,"Actinium Pharmaceuticals Inc",1.69,-0.02,-1.17%,1.74,1.79,1.67,334352,"18:30 ET"
ATOM,"Atomera Inc",5.12,0.15,+3.02%,5.06,5.42,5.04,561200,2025-07-21
ATOS,"Atossa Therapeutics Inc",0.8487,0.0068,+0.81%,0.85,0.88,0.8484,417400,2025-07-21
ATRC,"Atricure Inc",29.24,-0.02,-0.07%,29.5,30.12,28.96,445100,2025-07-21
ATRO,"Astronics Corp",34.6,0.04,+0.12%,34.68,35.16,33.72,518200,2025-07-21
ATUS,"Altice USA Inc Cl A",2.8,0.0099999999999998,+0.36%,2.8,2.85,2.76,8868789,"18:30 ET"
ATXS,"Astri Therapeutics Inc",6.26,0.29,+4.86%,6,6.4,6,302400,2025-07-21
ATYR,"Atyr Pharma Inc",5.71,-0.28,-4.67%,6.26,6.26,5.56,4765800,2025-07-21
AUB,"Atlantic Union Bancshares Corp",32.98,-0.24,-0.72%,33.24,33.62,32.94,1063031,"18:30 ET"
AUPH,"Aurinia Pharm Ord",8.62,-0.01,-0.12%,8.89,8.89,8.55,1319600,2025-07-21
AURA,"Aura Biosciences Inc",6.77,0.06,+0.89%,6.76,7.03,6.64,141500,2025-07-21
AVA,"Avista Corp",37.72,0.48,+1.29%,37.25,37.86,37.25,528175,"18:30 ET"
AVAH,"Aveanna Healthcare Holdings Inc",4.03,0.07,+1.77%,4.26,4.35,4.02,427800,2025-07-21
AVAV,"Aerovironment Inc",272.18,-1.85,-0.68%,277.04,279.53,271.08,1119900,2025-07-21
AVBP,"Arrivent Biopharma Inc",21.55,-0.5,-2.27%,22.2,22.93,21.42,263700,2025-07-21
AVD,"American Vanguard Corp",3.53,0.06,+1.73%,3.5,3.59,3.48,202978,"18:30 ET"
AVDL,"Avadel Pharmaceuticals Plc ADR",10.98,0.15,+1.39%,10.87,11.48,10.86,1646400,2025-07-21
AVDX,"Avidxchange Holdings Inc",9.86,0.01,+0.10%,9.86,9.88,9.84,2649700,2025-07-21
AVIR,"Atea Pharmaceuticals Inc",3.43,0.07,+2.08%,3.4,3.53,3.39,394900,2025-07-21
AVNS,"Avanos Medical Inc",11.39,0.17,+1.52%,11.32,11.5067,11.22,438580,"18:30 ET"
AVNT,"Avient Corp",33.03,0.53,+1.63%,32.68,33.2,32.5215,818447,"18:30 ET"
AVNW,"Aviat Networks Inc",23.63,-0.01,-0.04%,23.74,24.08,23.54,128800,2025-07-21
AVO,"Mission Produce Inc",12.02,-0.05,-0.41%,12.09,12.11,12,173800,2025-07-21
AVPT,"Avepoint Inc Cl A",19.27,0.49,+2.58%,19.15,19.76,19.02,1391700,2025-07-21
AVR,"Anteris Technologies Global Corp",3.01,-0.04,-1.31%,3.06,3.24,2.99,82000,2025-07-21
AVXL,"Anavex Lf SC",11.16,0.18,+1.64%,11.06,11.32,10.99,613400,2025-07-21
AWR,"American States Water Company",75.29,-0.39,-0.52%,75.06,76.105,75,187766,"18:30 ET"
AX,"Axos Financial Inc",85.52,-0.01,-0.01%,85.7,87.04,85.31,236095,"18:30 ET"
AXGN,"Axogen Inc",11.61,0.33,+2.93%,11.29,11.77,11.27,498400,2025-07-21
AXL,"American Axle & Manufacturing",4.53,-0.02,-0.44%,4.61,4.72,4.5241,2297598,"18:30 ET"
AXSM,"Axsome Thera",109.68,-2.02,-1.81%,111.7,113.98,109.3,467400,2025-07-21
AZTA,"Azenta Inc",31.32,0.16,+0.51%,31.39,32.02,30.86,567700,2025-07-21
AZZ,"Azz Inc",111.44,-0.56,-0.50%,112.12,112.85,110.54,188551,"18:30 ET"
BALY,"Ballys Corporation",9.65,-0.15,-1.53%,9.68,10.04,9.63,60719,"18:30 ET"
BANC,"First Pactrust Bancorp",15,-0.03,-0.20%,15.1,15.225,14.985,2702948,"18:30 ET"
BAND,"Bandwidth Inc",15.46,-0.08,-0.51%,15.68,15.81,15.36,135900,2025-07-21
BANF,"Bancfirst Corp",133.16,-2.14,-1.58%,135.93,135.93,132.88,200300,2025-07-21
BANR,"Banner Corp",65.93,-0.16,-0.25%,66.61,67.28,65.88,151300,2025-07-21
BARK,"Bark Inc",0.9586,0.0094,+0.99%,0.95,0.9672,0.9304,353831,"18:30 ET"
BASE,"Couchbase Inc",24.28,-0.03,-0.12%,24.34,24.34,24.24,354000,2025-07-21
BATRA,"Atlanta Braves Holdings Inc",49.64,-0.08,-0.16%,49.74,50.04,49.25,37100,2025-07-21
BATRK,"Atlanta Braves Holdings Inc C",46.36,-0.24,-0.52%,46.53,46.78,46.25,208600,2025-07-21
BBAI,"Bigbear.Ai Holdings Inc",7.4,-0.55,-6.92%,8.21,8.59,7.38,111927176,"18:30 ET"
BBCP,"Concrete Pumping Holdings Inc",6.85,0.01,+0.15%,6.85,7,6.84,66200,2025-07-21
BBIO,"Bridgebio Pharma Inc",45.9,-0.61,-1.31%,47.34,47.4,45.81,2360400,2025-07-21
BBNX,"Beta Bionics Inc",14.3,0.71,+5.22%,13.79,14.32,13.5,232200,2025-07-21
BBSI,"Barrett Business S",43.7,0.07,+0.16%,43.64,44.24,43.37,104600,2025-07-21
BBUC,"Brookfield Business Corp",31.24,0.19,+0.61%,31.08,31.265,30.84,78685,"18:30 ET"
BBW,"Build-A-Bear Workshop",53.24,0.58000000000001,+1.10%,52.79,53.43,52.415,185379,"18:30 ET"
BCAL,"California Bancorp",16.37,0.01,+0.06%,16.38,16.54,16.35,118300,2025-07-21
BCAX,"Bicara Therapeutics Inc",11.24,0.31,+2.84%,10.94,11.41,10.94,274500,2025-07-21
BCBP,"Bcb Bancorp Inc",8.87,0.12,+1.37%,8.76,8.94,8.76,51500,2025-07-21
BCC,"Boise Cascade L.L.C.",83.51,-0.38,-0.45%,84.67,85.63,83.45,343641,"18:30 ET"
BCML,"Bay Commercial Bk CA",28.32,1.03,+3.77%,27.44,28.75,27.44,22600,2025-07-21
BCO,"Brink's Company",92.76,-0.64,-0.69%,93.89,94.055,92.6,136498,"18:30 ET"
BCPC,"Balchem Corp",153.02,0.18,+0.12%,153.48,155.1,152.79,125600,2025-07-21
BCRX,"Biocryst Pharma Inc",8.52,-0.09,-1.05%,8.63,8.74,8.49,3316100,2025-07-21
BDC,"Belden Inc",127.63,-0.24,-0.19%,128.36,128.62,127.21,213329,"18:30 ET"
BDN,"Brandywine Realty Trust",4.16,-0.01,-0.24%,4.19,4.25,4.15,1595772,"18:30 ET"
BDTX,"Black Diamond Therapeutics Inc",3.15,0.02,+0.64%,3.2,3.32,3.13,738800,2025-07-21
BE,"Bloom Energy Corp Cl A",25.36,0.37,+1.48%,25.38,26.37,25.2,6665259,"18:30 ET"
BEAM,"Beam Therapeutics Inc",21.03,0.28,+1.35%,21.11,22.8,20.85,2931200,2025-07-21
BELFA,"BEL Fuse Cl A",91.85,0.85,+0.93%,90.54,92.61,90.54,3100,2025-07-21
BELFB,"BEL Fuse Inc Cl B",103.72,2.03,+2.00%,101.7,104.68,101.7,149400,2025-07-21
BETR,"Better Home & Finance Holding CO",13.26,0.07,+0.53%,13.19,13.54,13.01,38400,2025-07-21
BFC,"Bank First National Corp [Wisconsin]",127.13,0.96,+0.76%,127.92,128.97,126.36,124900,2025-07-21
BFH,"Bread Financial Hldgs Inc",61.08,-0.08,-0.13%,61.42,62.26,60.75,505163,"18:30 ET"
BFIN,"Bankfinancial Corp",11.75,-0.06,-0.51%,11.69,11.85,11.69,29700,2025-07-21
BFLY,"Butterfly Network Inc",1.88,0.0099999999999998,+0.53%,1.89,1.94,1.86,2683030,"18:30 ET"
BFS,"Saul Centers",33.11,0.23,+0.70%,33.04,33.27,32.8201,60684,"18:30 ET"
BFST,"Business First Bancshares Inc",26.21,-0.08,-0.30%,26.35,26.63,26.17,51300,2025-07-21
BGC,"Bgc Partners Cl A",10.07,-0.09,-0.89%,10.14,10.32,10.05,2379000,2025-07-21
BGS,"B&G Foods Holdings",4.07,0,0.00%,4.11,4.155,4.04,1841518,"18:30 ET"
BH,"Biglari Holdings Inc",315.91,11.08,+3.63%,307.36,317.61,303.96,24166,"18:30 ET"
BHB,"Bar Harbor Bankshares",31.52,0.039999999999999,+0.13%,31.5,31.86,31.47,29596,"18:30 ET"
BHE,"Benchmark Electronics",39.84,0.43000000000001,+1.09%,39.42,39.98,39.355,180274,"18:30 ET"
BHLB,"Berkshire Hills Bancorp",26.19,-0.23,-0.87%,26.56,26.65,26.18,289756,"18:30 ET"
BHR,"Braemar Hotels & Resorts Inc",2.39,-0.02,-0.83%,2.41,2.4651,2.38,198583,"18:30 ET"
BHRB,"Burke Herbert Financial Services Corp",64.09,-0.22,-0.34%,64.52,65.39,63.92,29500,2025-07-21
BHVN,"Biohaven Ltd",13.81,-0.24,-1.71%,14.11,14.6,13.76,1350573,"18:30 ET"
BIGC,"Bigcommerce Holdings Inc",4.98,0.03,+0.61%,4.96,5.03,4.94,547800,2025-07-21
BIOA,"Bioage Labs Inc",4.6,-0.03,-0.65%,4.58,4.71,4.57,81600,2025-07-21
BIPC,"Brookfield Infrastructure Partners LP Cl A",41.3,-0.17,-0.41%,41.52,41.66,41.2,343362,"18:30 ET"
BJRI,"Bj's Restaurants Inc",40.32,0.28,+0.70%,40.1,40.85,39.99,485100,2025-07-21
BKD,"Brookdale Senior Living Inc",7.74,0.03,+0.39%,7.8,7.898,7.68,2292535,"18:30 ET"
BKE,"Buckle Inc",48.95,0.91,+1.89%,48.34,49.69,48.12,502654,"18:30 ET"
BKH,"Black Hills Corp",57.61,0.78,+1.37%,56.83,57.97,56.83,501992,"18:30 ET"
BKKT,"Bakkt Hldgs Inc",23.87,1.1,+4.83%,23.71,25.654,23.28,732380,"18:30 ET"
BKSY,"Blacksky Technology Inc",22.33,-1.37,-5.78%,24.6,24.63,22.26,4029563,"18:30 ET"
BKTI,"Bk Technologies Inc",40.34,-0.65,-1.59%,40.8,42.8596,40.15,48965,"18:30 ET"
BKU,"BankUnited Inc",37.81,-0.18,-0.47%,38.08,38.545,37.79,642981,"18:30 ET"
BKV,"Bkv Corp",19.85,-2.29,-10.34%,22.03,22.07,19.84,836308,"18:30 ET"
BL,"Blackline Inc",56.34,-0.22,-0.39%,56.81,56.94,56.11,361900,2025-07-21
BLBD,"Blue Bird Corp",42.89,0.14,+0.33%,43.23,43.94,42.86,258300,2025-07-21
BLDE,"Blade Air Mobility Inc",4.59,0.32,+7.49%,4.3,4.64,4.21,1272900,2025-07-21
BLFS,"Biolife Solutions",20.76,-0.07,-0.34%,20.96,21.26,20.47,496200,2025-07-21
BLFY,"Blue Foundry Bancorp",9.12,0.01,+0.11%,9.12,9.26,9.06,24000,2025-07-21
BLKB,"Blackbaud Inc",64.18,0.1,+0.16%,64,64.68,63.98,220100,2025-07-21
BLMN,"Bloomin' Brands Inc",9.44,0.05,+0.53%,9.57,9.73,9.4,1497700,2025-07-21
BLND,"Blend Labs Inc Cl A",3.47,0.1,+2.97%,3.4,3.5852,3.35,2472621,"18:30 ET"
BLNK,"Blink Charging Company",1.13,0.08,+7.62%,1.09,1.2,1.08,5559200,2025-07-21
BLX,"Banco Latinoamericano DE Comercio",42.44,-0.21,-0.49%,42.64,42.72,42.24,204585,"18:30 ET"
BLZE,"Backblaze Inc Cl A",5.42,0.14,+2.75%,5.34,5.45,5.29,252200,2025-07-21
BMBL,"Bumble Inc",7.37,0.23,+3.22%,7.23,7.53,7.23,2802300,2025-07-21
BMEA,"Biomea Fusion Inc",1.83,-0.02,-1.08%,1.89,1.89,1.8,605500,2025-07-21
BMI,"Badger Meter",245.22,0.84999999999999,+0.35%,245.74,247.285,243.56,268022,"18:30 ET"
BMRC,"Bank of Marin Bancrp",24.87,-0.03,-0.12%,24.97,25.37,24.79,47000,2025-07-21
BNED,"Barnes & Noble Education Inc C",8.87,-2.36,-21.02%,10.74,10.79,8.8032,2561888,"18:30 ET"
BNL,"Broadstone Net Lease Inc Cl A",15.77,0,0.00%,15.89,16,15.755,865446,"18:30 ET"
BNTC,"Benitec Biopharma Ltd ADR",11.18,0.14,+1.27%,11.15,11.99,11.02,62600,2025-07-21
BOC,"Boston Omaha Corp Cl A",13.52,-0.03,-0.22%,13.63,13.79,13.5,147726,"18:30 ET"
BOH,"Bank of Hawaii Corp",67.59,-0.06,-0.09%,67.66,68.715,67.49,323965,"18:30 ET"
BOOM,"Dynamic Materials",8.02,0.26,+3.35%,7.78,8.09,7.78,94500,2025-07-21
BOOT,"Boot Barn Holdings Inc",173.86,3.27,+1.92%,171.15,175.8,170.99,621366,"18:30 ET"
BORR,"Borr Drilling Ltd",1.86,-0.02,-1.06%,1.92,1.94,1.85,2183283,"18:30 ET"
BOW,"Bowhead Specialty Holdings Inc",33.16,-0.49,-1.46%,33.73,33.875,33.14,217495,"18:30 ET"
BOX,"Box Inc",32.86,0.43,+1.33%,32.5,32.94,32.385,1665585,"18:30 ET"
BPRN,"Princeton Bancorp Inc",32.15,0.14,+0.44%,32.2,32.7,32.15,9700,2025-07-21
BRBS,"Blue Ridge Bankshare",3.93,0,0.00%,3.96,4,3.9,406779,"18:30 ET"
BRCC,"Brc Inc Cl A",1.69,0.06,+3.68%,1.75,1.81,1.66,1384797,"18:30 ET"
BRKL,"Brookline Bancorp",10.98,-0.11,-0.99%,11.12,11.2,10.98,732500,2025-07-21
BRSP,"Brightspire Capital Inc",4.94,0.02,+0.41%,4.94,4.9757,4.93,654195,"18:30 ET"
BRT,"BRT Realty Trust",15.41,0.16,+1.05%,15.27,15.495,15.27,29303,"18:30 ET"
BRY,"Berry Pete Corp",3.1,-0.08,-2.52%,3.22,3.22,3.07,1189700,2025-07-21
BRZE,"Braze Inc Cl A",28.63,-0.25,-0.87%,28.98,29.56,28.47,1429200,2025-07-21
BSET,"Bassett Furniture",18.71,0.13,+0.70%,18.55,19.07,17.83,68100,2025-07-21
BSRR,"Sierra Bancorp",30.74,-0.22,-0.71%,30.96,31.45,30.66,68600,2025-07-21
BSVN,"Bank7 Corp",48.3,-0.21,-0.43%,48.81,48.89,47.71,43100,2025-07-21
BTBT,"Bit Digital Inc",3.32,-0.52,-13.54%,3.91,3.98,3.3,77507000,2025-07-21
BTDR,"Bitdeer Technologies Group",13.75,0.05,+0.36%,13.99,15.17,13.71,7362500,2025-07-21
BTMD,"Biote Corp",4.01,-0.01,-0.25%,4.05,4.18,3.98,81300,2025-07-21
BTSG,"Brightspring Health Services Inc",19.71,-0.24,-1.18%,19.97,20.19,19.64,1082700,2025-07-21
BTU,"Peabody Energy Corp",15.91,0.36,+2.32%,15.97,16.25,15.62,5012563,"18:30 ET"
BUR,"Burford Capital Ltd",13.76,-0.27,-1.92%,14.1,14.23,13.76,1011027,"18:30 ET"
BUSE,"First Busey Corp",24.14,-0.23,-0.94%,24.05,24.63,24.05,436000,2025-07-21
BV,"Brightview Holdings Inc",15.68,-0.18,-1.13%,15.92,15.95,15.63,543947,"18:30 ET"
BVFL,"Bv Financial Inc MD",15.94,0.18,+1.14%,15.71,16.07,15.47,73700,2025-07-21
BVS,"Bioventus Inc Cl A",6.3,0.04,+0.64%,6.27,6.46,6.26,238000,2025-07-21
BWB,"Bridgewater Bancshares Inc",16.12,-0.08,-0.49%,16.25,16.6,16.05,39200,2025-07-21
BWFG,"Bankwell Financial",38.05,0.17,+0.45%,38.02,38.3,37.8,30400,2025-07-21
BWIN,"The Baldwin Insurance Group Inc",40.58,-1.26,-3.01%,41.79,42.34,40.56,412700,2025-07-21
BWMN,"Bowman Consulting Group Ltd",31.71,0.23,+0.73%,31.65,32.15,31.57,49900,2025-07-21
BXC,"Bluelinx Holdings Inc",73.88,-0.13,-0.18%,74.82,75.775,73.47,125027,"18:30 ET"
BXMT,"Blackstone Mortgage Trust Inc Cl A",19.21,-0.03,-0.16%,19.37,19.42,19.16,1003537,"18:30 ET"
BY,"Byline Bancorp Inc",27.79,0.059999999999999,+0.22%,27.73,28.11,27.73,155158,"18:30 ET"
BYND,"Beyond Meat Inc",4.1,0.6,+17.14%,3.49,4.56,3.49,14581301,2025-07-21
BYON,"Beyond Inc",10.84,1.99,+22.49%,9.2,10.9,9.165,9463613,"18:30 ET"
BYRN,"Byrna Technologies Inc",21.45,-0.29,-1.33%,21.72,22.2,21.35,698100,2025-07-21
BZH,"Beazer Homes USA",23.29,0.009999999999998,+0.04%,23.59,23.81,23.27,278477,"18:30 ET"
CABA,"Cabaletta Bio Inc",1.64,-0.03,-1.80%,1.69,1.73,1.62,1134600,2025-07-21
CABO,"Cable One Inc",140.31,11.78,+9.17%,130,141.04,129.99,316483,"18:30 ET"
CAC,"Camden Natl Corp",42.29,0.02,+0.05%,42.34,42.92,42.04,41500,2025-07-21
CADE,"Cadence Bank",35.05,0.16,+0.46%,35.12,35.62,34.93,1706475,"18:30 ET"
CADL,"Candel Therapeutics Inc",6.57,-0.17,-2.52%,6.78,6.96,6.55,744600,2025-07-21
CAKE,"Cheesecake Fact",63.91,1.23,+1.96%,63.24,64.43,63.12,1267100,2025-07-21
CAL,"Caleres Inc",13.98,0.26,+1.90%,13.97,14.11,13.76,446278,"18:30 ET"
CALM,"Cal-Maine Foods IN",106.17,0.23,+0.22%,106.27,109.28,105.97,877400,2025-07-21
CALX,"Calix Inc",53.73,0.059999999999995,+0.11%,53.66,54.36,52.73,1233114,"18:30 ET"
CAMP,"Camp4 Therapeutics Corp",1.59,0,0.00%,1.64,1.69,1.55,95900,2025-07-21
CAPR,"Capricor Therap",6.27,-0.61,-8.87%,6.9,6.97,6.19,3518700,2025-07-21
CARE,"Carter Bankshares Inc",18.1,-0.07,-0.39%,18.22,18.41,18.08,49000,2025-07-21
CARG,"Cargurus Inc Cl A",33.22,0.06,+0.18%,33.35,33.76,33.22,770200,2025-07-21
CARS,"Cars.com Inc",12.88,0.010000000000002,+0.08%,12.99,13.22,12.845,496746,"18:30 ET"
CASH,"Pathward Financial Inc",80.46,-0.47,-0.58%,81.28,81.72,80.36,121600,2025-07-21
CASS,"Cass Information Sys",43.34,0.33,+0.77%,43.01,43.81,43.01,50000,2025-07-21
CATX,"Perspective Therapeutics Inc",4.31,0.11,+2.62%,4.2,4.64,4.2,1216957,"18:30 ET"
CATY,"Cathay Genl Bncp",48.09,-0.11,-0.23%,48.22,48.79,48.07,284000,2025-07-21
CBAN,"Colony Bankcorp Inc",17.62,0.1,+0.57%,17.52,17.77,17.5,48117,"18:30 ET"
CBFV,"Cb Financial Svc",28.4,0.84,+3.05%,27.8,28.42,27.8,11100,2025-07-21
CBL,"Cbl & Associates Properties Inc",26.8,0.35,+1.32%,26.55,26.96,26.55,70243,"18:30 ET"
CBLL,"Ceribell Inc",15.21,-0.37,-2.37%,15.69,15.96,15.16,109000,2025-07-21
CBNA,"Chain Bridge Bancorp Inc Cl A",26.61,0.43,+1.64%,25.9211,26.71,25.6407,25262,"18:30 ET"
CBNK,"Capital Bancorp Inc",35.46,0.39,+1.11%,35.1,36.4,35.1,43700,2025-07-21
CBRL,"Cracker Barrel",66.56,0.92,+1.40%,66.74,67.6,65.71,527000,2025-07-21
CBT,"Cabot Corp",75.03,0.13,+0.17%,75.44,75.83,74.92,322292,"18:30 ET"
CBU,"Community Financial System Inc",57.92,-0.51,-0.87%,58.43,58.97,57.77,218910,"18:30 ET"
CBUS,"Cibus Inc",1.65,-0.03,-1.79%,1.7,1.755,1.65,213100,2025-07-21
CBZ,"Cbiz Inc",72.68,-2.02,-2.70%,75.02,75.305,72.095,614388,"18:30 ET"
CC,"Chemours Company",13.57,0.0099999999999998,+0.07%,13.7,13.97,13.515,2717521,"18:30 ET"
CCB,"Coastal Financial Corp",102.06,0.36,+0.35%,101.88,102.92,101.39,77500,2025-07-21
CCBG,"Capital City Bank Gr",41.95,0.68,+1.65%,41.47,42.33,41.47,29800,2025-07-21
CCCC,"C4 Therapeutics Inc",2.27,-0.05,-2.16%,2.37,2.48,2.26,1305500,2025-07-21
CCNE,"Cnb Financial Corp",23.74,0.04,+0.17%,23.71,24.22,23.65,109300,2025-07-21
CCOI,"Cogent Comm Hlds",47.92,-2.08,-4.16%,50.41,50.53,47.22,1158700,2025-07-21
CCRD,"Corecard Corporation",27.99,-0.98,-3.38%,28.94,29.26,27.93,45567,"18:30 ET"
CCRN,"Cross Ctry Hlthcr",13.36,0.58,+4.54%,12.78,13.39,12.73,286200,2025-07-21
CCS,"Century Communities Inc",58.69,-0.38,-0.64%,59.78,60.415,58.365,231091,"18:30 ET"
CCSI,"Consensus Cloud Solutions",20.96,-0.1,-0.47%,21.13,21.22,20.85,120400,2025-07-21
CDE,"Coeur Mining Inc",9.46,0.38,+4.19%,9.24,9.7481,9.24,11255970,"18:30 ET"
CDLX,"Cardlytics Inc",2.03,0.35,+20.83%,1.7,2.1,1.7,2368600,2025-07-21
CDNA,"Caredx Inc",12.75,0.84,+7.01%,11.9,13.15,11.62,4559800,2025-07-21
CDP,"Copt Defense Properties",27.96,0.11,+0.39%,27.94,28.2,27.78,572609,"18:30 ET"
CDRE,"Cadre Holdings Inc",32.25,-0.39,-1.19%,32.78,32.8,32.21,159508,"18:30 ET"
CDTX,"Cidara Thera",57.05,-2.91,-4.85%,59.95,60.38,56.17,912600,2025-07-21
CDXS,"Codexis Inc",2.84,0.02,+0.71%,2.85,2.9,2.81,649800,2025-07-21
CDZI,"Cadiz Inc",2.95,-0.06,-1.99%,3.03,3.1,2.9,284800,2025-07-21
CECO,"Ceco Environmental Corp",31.55,-0.45,-1.41%,32.03,32.12,31.48,123800,2025-07-21
CELC,"Celcuity Inc",13.54,-0.05,-0.37%,13.53,14.12,13.47,123000,2025-07-21
CENT,"Central Garden",39.9,-0.22,-0.55%,40.21,40.52,39.85,45500,2025-07-21
CENTA,"Central Garden & Pet",36,-0.01,-0.03%,36.21,36.55,35.95,312600,2025-07-21
CENX,"Century Aluminum C",22.2,1.88,+9.25%,20.7,22.54,20.7,3278100,2025-07-21
CERS,"Cerus Corp",1.38,0.02,+1.47%,1.38,1.43,1.37,892000,2025-07-21
CEVA,"Ceva Inc",23.56,0.32,+1.38%,23.03,23.82,23.03,266100,2025-07-21
CFBK,"Central Fed Corp",23.94,0.02,+0.08%,24,24.23,23.94,49600,2025-07-21
CFFI,"C&F Financial Corp",67.54,0.24,+0.36%,67.29,67.75,66.25,10500,2025-07-21
CFFN,"Capitol Fed Finl Inc",6.16,-0.06,-0.96%,6.23,6.26,6.16,447300,2025-07-21
CGEM,"Cullinan Therapeutics Inc",7.52,-0.01,-0.13%,7.55,7.82,7.48,167100,2025-07-21
CGON,"Cg Oncology Inc",26.9,0.15,+0.56%,26.99,27.35,26.42,873800,2025-07-21
CHCO,"City Holding Company",124.07,-0.91,-0.73%,125.05,125.26,123.94,95600,2025-07-21
CHCT,"Community Healthcare Trust Inc",15.96,-0.22,-1.36%,16.28,16.45,15.92,259288,"18:30 ET"
CHEF,"The Chefs Warehouse",65.61,0.79,+1.22%,65.06,66.01,64.83,264000,2025-07-21
CHGG,"Chegg Inc",1.37,-0.03,-2.14%,1.4,1.4591,1.35,1989013,"18:30 ET"
CHMG,"Chemung Financial Corp",52.72,0.34,+0.65%,52.13,54.19,52.13,24500,2025-07-21
