Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ZIP,"Ziprecruiter Inc Cl A",4.43,-0.23,-4.94%,4.71,4.76,4.35,1040756,2025-07-21
ZNTL,"Zentalis Pharmaceuticals Inc",1.39,-0.02,-1.42%,1.42,1.475,1.375,598200,2025-07-21
ZSPC,"Zspace Inc",2.86,0.08,+2.88%,2.83,2.97,2.76,91000,2025-07-21
ZUMZ,"Zumiez Inc",13.9,0.44,+3.27%,13.59,14.42,13.59,210000,2025-07-21
ZURA,"Zura Bio Ltd",1.72,-0.19,-9.95%,1.95,1.98,1.71,715700,2025-07-21
ZVIA,"Zevia Pbc Cl A",3.11,0.06,+1.97%,3.04,3.19,3.04,390155,2025-07-21
ZVRA,"Zevra Therapeutics Inc",11.73,-0.34,-2.82%,12.04,12.2,11.64,1133200,2025-07-21
ZWS,"Zurn Elkay Water Solutions Corp",36.99,-0.56,-1.49%,37.87,37.87,36.99,922186,2025-07-21
ZYME,"Zymeworks Inc",14.32,0.07,+0.49%,14.34,14.57,13.98,388400,2025-07-21
ZYXI,"Zynex Inc",2.34,0.03,+1.30%,2.31,2.41,2.31,38500,2025-07-21
"Downloaded from Barchart.com as of 07-21-2025 07:04pm CDT"
