Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SNPS,"Synopsys Inc",591.46,6.7,+1.15%,596.43,582.65,2444900,2025-07-21
TEAM,"Atlassian Corp",194.36,-0.5,-0.26%,197.71,193.68,1356100,2025-07-21
TMUS,"T-Mobile US",232.62,5.41,+2.38%,233.97,229.6,4430500,2025-07-21
TSLA,"Tesla Inc",328.49,-1.16,-0.35%,338,326.88,75307102,2025-07-21
TTD,"Trade Desk Inc",80.03,-0.18,-0.22%,82.15,79.09,9516100,2025-07-21
TTWO,"Take-Two Interactive",231.63,0.45,+0.19%,233.24,230.06,1355700,2025-07-21
TXN,"Texas Instruments",214.57,-2.05,-0.95%,219,214.21,8260601,2025-07-21
VRSK,"Verisk Analytics Inc",299.56,-2.34,-0.78%,303.72,299.4,567000,2025-07-21
VRTX,"Vertex Pharmaceutic",458.49,-1.32,-0.29%,462.31,456.83,801000,2025-07-21
WBD,"Discovery Inc Series A",12.8,0.05,+0.39%,12.89,12.66,62747301,2025-07-21
WDAY,"Workday Inc",233.71,0.65,+0.28%,235.84,232.07,2176200,2025-07-21
XEL,"XCEL Energy Inc",71.57,1.19,+1.69%,71.79,70.37,2635200,2025-07-21
ZS,"Zscaler Inc",288.43,-0.29,-0.10%,293.65,285.8,1348300,2025-07-21
"Downloaded from Barchart.com as of 07-21-2025 07:04pm CDT"
